Name,e_magic,e_cblp,e_cp,e_crlc,e_cparhdr,e_minalloc,e_maxalloc,e_ss,e_sp,e_csum,e_ip,e_cs,e_lfarlc,e_ovno,e_oemid,e_oeminfo,e_lfanew,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfHeaders,CheckSum,SizeOfImage,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,SuspiciousImportFunctions,SuspiciousNameSection,SectionsLength,SectionMinEntropy,SectionMaxEntropy,SectionMinRawsize,SectionMaxRawsize,SectionMinVirtualsize,SectionMaxVirtualsize,SectionMaxPhysical,SectionMinPhysical,SectionMaxVirtual,SectionMinVirtual,SectionMaxPointerData,SectionMinPointerData,SectionMaxChar,SectionMainChar,DirectoryEntryImport,DirectoryEntryImportSize,DirectoryEntryExport,ImageDirectoryEntryExport,ImageDirectoryEntryImport,ImageDirectoryEntryResource,ImageDirectoryEntryException,ImageDirectoryEntrySecurity
CyphersLogInAgent.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,224,332,4,1574745549,0,0,224,259,267,9,0,88064,26624,0,47805,4096,4194304,4096,512,5,0,0,0,5,0,1024,169705,135168,2,32768,1048576,4096,1048576,4096,0,16,1,0,4,2.4434097,6.463743,1536,88064,1292,87587,114176,1024,131072,4096,114176,1024,3221225536,1073741888,111588,140,0,0,111588,131072,0,115712
BugTrap.dll,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,240,332,5,1176091262,0,0,224,8450,267,8,0,173568,86016,0,121261,4096,268435456,4096,512,4,0,0,0,4,0,1024,295190,290816,2,0,1048576,4096,1048576,4096,0,16,1,0,5,3.342544,6.686218,5632,173568,12350,173294,247808,1024,274432,4096,247808,1024,3221225536,1073741888,209092,280,215392,215392,209092,241664,0,0
patchw32.dll,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,128,332,8,1168544520,0,0,224,8462,267,2,55,168960,39424,18944,139724,4096,268435456,4096,512,1,0,0,0,4,0,1024,251871,253952,2,0,1048576,4096,1048576,4096,0,16,1,0,8,0,6.650074,0,168960,241,168466,196608,0,237568,4096,196608,0,3221225600,1073741888,217088,4830,225280,225280,217088,229376,0,214528
CrashReporter.dll,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,280,332,5,1580884619,0,0,224,8450,267,12,0,849920,240640,0,463716,4096,268435456,4096,512,5,1,0,0,5,1,1024,1131438,1105920,3,320,1048576,4096,1048576,4096,0,16,1,0,5,3.6683106,6.660623,1536,849920,1264,849667,1023488,1024,1060864,4096,1023488,1024,3221225536,1073741888,1004220,220,1001808,1001808,1004220,1056768,0,1065984
